LETRA;CATEGORIA;SUBCATEGORIA;CLASSIF;RESTRSEXO;CAUSAOBITO;DESCRICAO;DESCRABREV;REFER;EXCLUIDOS
F;66;9;;;N;Transtorno do desenvolvimento sexual, não especificado;F66.9 Transt do desenvolv sexual NE;;
F;68;0;;;N;Sintomas físicos aumentados por fatores psicológicos;F68.0 Sint fisicos aument p/fatores psicologicos;;
F;68;1;;;N;Produção deliberada ou simulação de sintomas ou de incapacidades, físicas ou psicológicas [transtorno fictício];F68.1 Prod delib ou simul sint incapac fisic psic;;
F;68;8;;;N;Outros transtornos especificados da personalidade e do comportamento do adulto;F68.8 Outr transt espec personal e comport adulto;;
F;69;;;;N;Transtorno da personalidade e do comportamento do adulto, não especificado;F69   Transt personalidade e comport adulto NE;;
F;70;0;;;;Retardo mental leve - menção de ausência de ou de comprometimento mínimo do comportamento;F70.0 Mencao ausencia de ou compr minimo comport;;
F;70;1;;;;Retardo mental leve - comprometimento significativo do comportamento, requerendo vigilância ou tratamento;F70.1 Compr signif comport req vigilancia ou trat;;
F;70;8;;;;Retardo mental leve - outros comprometimentos do comportamento;F70.8 Outr comprometimentos do comport;;
F;70;9;;;;Retardo mental leve - sem menção de comprometimento do comportamento;F70.9 S/mencao de compr do comport;;
F;71;0;;;;Retardo mental moderado - menção de ausência de ou de comprometimento mínimo do comportamento;F71.0 Mencao ausencia de ou compr minimo comport;;
F;71;1;;;;Retardo mental moderado - comprometimento significativo do comportamento, requerendo vigilância ou tratamento;F71.1 Compr signif comport req vigilancia ou trat;;
F;71;8;;;;Retardo mental moderado - outros comprometimentos do comportamento;F71.8 Outr comprometimentos do comport;;
F;71;9;;;;Retardo mental moderado - sem menção de comprometimento do comportamento;F71.9 S/mencao de compr do comport;;
F;72;0;;;;Retardo mental grave - menção de ausência de ou de comprometimento mínimo do comportamento;F72.0 Mencao ausencia de ou compr minimo comport;;
F;72;1;;;;Retardo mental grave - comprometimento significativo do comportamento, requerendo vigilância ou tratamento;F72.1 Compr signif comport req vigilancia ou trat;;
F;72;8;;;;Retardo mental grave - outros comprometimentos do comportamento;F72.8 Outr comprometimentos do comport;;
F;72;9;;;;Retardo mental grave - sem menção de comprometimento do comportamento;F72.9 S/mencao de compr do comport;;
F;73;0;;;;Retardo mental profundo - menção de ausência de ou de comprometimento mínimo do comportamento;F73.0 Mencao ausencia de ou compr minimo comport;;
F;73;1;;;;Retardo mental profundo - comprometimento significativo do comportamento, requerendo vigilância ou tratamento;F73.1 Compr signif comport req vigilancia ou trat;;
F;73;8;;;;Retardo mental profundo - outros comprometimentos do comportamento;F73.8 Outr comprometimentos do comport;;
F;73;9;;;;Retardo mental profundo - sem menção de comprometimento do comportamento;F73.9 S/mencao de compr do comport;;
F;78;0;;;;Outro retardo mental - menção de ausência de ou de comprometimento mínimo do comportamento;F78.0 Mencao ausencia de ou compr minimo comport;;
F;78;1;;;;Outro retardo mental - comprometimento significativo do comportamento, requerendo vigilância ou tratamento;F78.1 Compr signif comport req vigilancia ou trat;;
F;78;8;;;;Outro retardo mental - outros comprometimentos do comportamento;F78.8 Outr comprometimentos do comport;;
F;78;9;;;;Outro retardo mental - sem menção de comprometimento do comportamento;F78.9 S/mencao de compr do comport;;
F;79;0;;;;Retardo mental não especificado - menção de ausência de ou de comprometimento mínimo do comportamento;F79.0 Mencao ausencia de ou compr minimo comport;;
F;79;1;;;;Retardo mental não especificado - comprometimento significativo do comportamento, requerendo vigilância ou tratamento;F79.1 Compr signif comport req vigilancia ou trat;;
F;79;8;;;;Retardo mental não especificado - outros comprometimentos do comportamento;F79.8 Outr comprometimentos do comport;;
F;79;9;;;;Retardo mental não especificado - sem menção de comprometimento do comportamento;F79.9 S/mencao de compr do comport;;
F;80;0;;;;Transtorno específico da articulação da fala;F80.0 Transt especifico da articulacao da fala;;
F;80;1;;;;Transtorno expressivo de linguagem;F80.1 Transt expressivo de linguagem;;
F;80;2;;;;Transtorno receptivo da linguagem;F80.2 Transt receptivo da linguagem;;
F;80;3;;;;Afasia adquirida com epilepsia [síndrome de Landau-Kleffner];F80.3 Afasia adquir c/epilepsia;;
F;80;8;;;;Outros transtornos de desenvolvimento da fala ou da linguagem;F80.8 Outr transt desenvolv fala ou linguagem;;
F;80;9;;;;Transtorno não especificado do desenvolvimento da fala ou da linguagem;F80.9 Transt NE do desenvolv da fala ou linguagem;;
F;81;0;;;;Transtorno específico de leitura;F81.0 Transt especifico de leitura;;
F;81;1;;;;Transtorno específico da soletração;F81.1 Transt especifico da soletracao;;
F;81;2;;;;Transtorno específico da habilidade em aritmética;F81.2 Transt especifico habilidade em aritmetica;;
F;81;3;;;;Transtorno misto de habilidades escolares;F81.3 Transt misto de habilidades escolares;;
F;81;8;;;;Outros transtornos do desenvolvimento das habilidades escolares;F81.8 Outr transt do desenvolv habilidade escolar;;
F;81;9;;;;Transtorno não especificado do desenvolvimento das habilidades escolares;F81.9 Transt NE do desenvolv habilidades escolares;;
F;82;;;;;Transtorno específico do desenvolvimento motor;F82   Transt especifico do desenvolv motor;;
F;83;;;;;Transtornos específicos misto do desenvolvimento;F83   Transt especificos misto do desenvolv;;
F;84;0;;;;Autismo infantil;F84.0 Autismo infantil;;
F;84;1;;;;Autismo atípico;F84.1 Autismo atipico;;
F;84;2;;;;Síndrome de Rett;F84.2 Sindr de Rett;;
F;84;3;;;;Outro transtorno desintegrativo da infância;F84.3 Outr transt desintegrativo da infancia;;
F;84;4;;;;Transtorno com hipercinesia associada a retardo mental e a movimentos estereotipados;F84.4 Transt c/hipercin ass ret ment mov estereot;;
F;84;5;;;;Síndrome de Asperger;F84.5 Sindr de Asperger;;
F;84;8;;;;Outros transtornos globais do desenvolvimento;F84.8 Outr transt globais do desenvolv;;
F;84;9;;;;Transtornos globais não especificados do desenvolvimento;F84.9 Transt globais NE do desenvolv;;
F;88;;;;;Outros transtornos do desenvolvimento psicológico;F88   Outr transt do desenvolv psicologico;;
F;89;;;;;Transtorno do desenvolvimento psicológico não especificado;F89   Transt do desenvolv psicologico NE;;
F;90;0;;;;Distúrbios da atividade e da atenção;F90.0 Disturbios da atividade e da atencao;;
F;90;1;;;;Transtorno hipercinético de conduta;F90.1 Transt hipercinetico de conduta;;
F;90;8;;;;Outros transtornos hipercinéticos;F90.8 Outr transt hipercineticos;;
F;90;9;;;;Transtorno hipercinético não especificado;F90.9 Transt hipercinetico NE;;
F;91;0;;;;Distúrbio de conduta restrito ao contexto familiar;F91.0 Disturbio conduta restrito contexto familiar;;
F;91;1;;;;Distúrbio de conduta não-socializado;F91.1 Disturbio de conduta nao-socializado;;
F;91;2;;;;Distúrbio de conduta do tipo socializado;F91.2 Disturbio de conduta do tipo socializado;;
F;91;3;;;;Distúrbio desafiador e de oposição;F91.3 Disturbio desafiador e de oposicao;;
F;91;8;;;;Outros transtornos de conduta;F91.8 Outr transt de conduta;;
F;91;9;;;;Transtorno de conduta não especificado;F91.9 Transt de conduta NE;;
F;92;0;;;;Distúrbio depressivo de conduta;F92.0 Disturbio depressivo de conduta;;
F;92;8;;;;Outros transtornos mistos da conduta e das emoções;F92.8 Outr transt mistos da conduta e das emocoes;;
F;92;9;;;;Transtorno misto da conduta e das emoções não especificado;F92.9 Transt misto da conduta e das emocoes NE;;
F;93;0;;;;Transtorno ligado à angústia de separação;F93.0 Transt ligado a angustia de separacao;;
F;93;1;;;;Transtorno fóbico ansioso da infância;F93.1 Transt fobico ansioso da infancia;;
F;93;2;;;;Distúrbio de ansiedade social da infância;F93.2 Disturbio de ansiedade social da infancia;;
F;93;3;;;;Transtorno de rivalidade entre irmãos;F93.3 Transt de rivalidade entre irmaos;;
F;93;8;;;;Outros transtornos emocionais da infância;F93.8 Outr transt emocionais da infancia;;
F;93;9;;;;Transtorno emocional da infância não especificado;F93.9 Transt emocional da infancia NE;;
F;94;0;;;;Mutismo eletivo;F94.0 Mutismo eletivo;;
F;94;1;;;;Distúrbio reativo de vinculação da infância;F94.1 Disturbio reativo de vinculacao da infancia;;
F;94;2;;;;Transtorno de fixação da infância, com desinibição;F94.2 Transt de fixacao da infancia c/desinibicao;;
F;94;8;;;;Outros transtornos do funcionamento social na infância;F94.8 Outr transt do funcionamento social infancia;;
F;94;9;;;;Transtorno do funcionamento social da infância não especificado;F94.9 Transt do funcionamento social infancia NE;;
F;95;0;;;N;Tique transitório;F95.0 Tique transitorio;;
F;95;1;;;N;Tique motor ou vocal crônico;F95.1 Tique motor ou vocal cronico;;
F;95;2;;;N;Tiques vocais e motores múltiplos combinados [doença de Gilles de la Tourette];F95.2 Tiques vocais e motores mult combinados;;
F;95;8;;;N;Outros tiques;F95.8 Outr tiques;;
F;95;9;;;N;Tique não especificado;F95.9 Tique NE;;
F;98;0;;;N;Enurese de origem não-orgânica;F98.0 Enurese orig nao-organica;;
F;98;1;;;N;Encoprese de origem não-orgânica;F98.1 Encoprese orig nao-organica;;
F;98;2;;;N;Transtorno de alimentação na infância;F98.2 Transt de alimentacao na infancia;;
F;98;3;;;N;Pica do lactente ou da criança;F98.3 Pica do lactente ou da crianca;;
F;98;4;;;N;Estereotipias motoras;F98.4 Estereotipias motoras;;
F;98;5;;;N;Gagueira [tartamudez];F98.5 Gagueira;;
F;98;6;;;N;Linguagem precipitada;F98.6 Linguagem precipitada;;
F;98;8;;;N;Outros transtornos comportamentais e emocionais especificados com início habitualmente na infância ou adolescência;F98.8 Outr trans comp emoc espec c/inic inf adoles;;
F;98;9;;;N;Transtornos comportamentais e emocionais não especificados com início habitualmente na infância ou adolescência;F98.9 Transt comp emoc NE c/inicio infanc adolesc;;
F;99;;;;;Transtorno mental não especificado em outra parte;F99   Transt mental NE em outr parte;;
G;00;0;;;;Meningite por Haemophilus;G00.0 Meningite p/Haemophilus;;
G;00;1;;;;Meningite pneumocócica;G00.1 Meningite pneumococica;;
G;00;2;;;;Meningite estreptocócica;G00.2 Meningite estreptococica;;
G;00;3;;;;Meningite estafilocócica;G00.3 Meningite estafilococica;;
G;00;8;;;;Outras meningites bacterianas;G00.8 Outr meningites bacter;;
G;00;9;;;;Meningite bacteriana não especificada;G00.9 Meningite bacter NE;;
G;01;;*;;;Meningite em doenças bacterianas classificadas em outra parte;G01   Meningite em doenc bacter COP;;
G;02;0;*;;;Meningite em doenças virais classificadas em outra parte;G02.0 Meningite em doenc virais COP;;
G;02;1;*;;;Meningite em micoses;G02.1 Meningite em micoses;;
G;02;8;*;;;Meningite em outras doenças infecciosas e parasitárias classificadas em outra parte;G02.8 Meningite em outr doenc infecc e parasit COP;;
G;03;0;;;;Meningite não-piogênica;G03.0 Meningite nao-piogenica;;
G;03;1;;;;Meningite crônica;G03.1 Meningite cronica;;
G;03;2;;;;Meningite recorrente benigna [Mollaret];G03.2 Meningite recorrente benigna;;
G;03;8;;;;Meningite devida a outras causas especificadas;G03.8 Meningite dev outr causas espec;;
G;03;9;;;;Meningite não especificada;G03.9 Meningite NE;;
G;04;0;;;;Encefalite aguda disseminada;G04.0 Encefalite aguda disseminada;;
G;04;1;;;;Paraplegia espástica tropical;G04.1 Paraplegia espastica tropical;;
G;04;2;;;;Meningoencefalite e meningomielite bacterianas não classificadas em outra parte;G04.2 Meningoencefalite meningomielite bacter NCOP;;
G;04;8;;;;Outras encefalites, mielites e encefalomielites;G04.8 Outr encefalites mielites e encefalomielites;;
G;04;9;;;;Encefalite, mielite e encefalomielite não especificada;G04.9 Encefalite mielite e encefalomielite NE;;
G;05;0;*;;;Encefalite, mielite e encefalomielite em doenças bacterianas classificadas em outra parte;G05.0 Encefal mielit encefalomiel doenc bacter COP;;
G;05;1;*;;;Encefalite, mielite e encefalomielite em doenças virais classificadas em outra parte;G05.1 Encefal mielit encefalomiel doenc virais COP;;
G;05;2;*;;;Encefalite, mielite e encefalomielite em outras doenças infecciosas e parasitárias classificadas em outra parte;G05.2 Encef miel encefal out doenc infec paras COP;;
G;05;8;*;;;Encefalite, mielite e encefalomielite em outras doenças classificadas em outra parte;G05.8 Encefal mielit encefalomiel outr doenc COP;;
G;06;0;;;;Abscesso e granuloma intracranianos;G06.0 Abscesso e granuloma intracranianos;;
G;06;1;;;;Abscesso e granuloma intra-raquidianos;G06.1 Abscesso e granuloma intra-raquidianos;;
G;06;2;;;;Abscesso extradural e subdural não especificados;G06.2 Abscesso extradural e subdural NE;;
G;07;;*;;;Abscesso e granuloma intracranianos e intraspinais em doenças classificadas em outra parte;G07   Abscess granul intracran intraspin doenc COP;;
G;08;;;;;Flebite e tromboflebite intracranianas e intra-raquidianas;G08   Flebite tromboflebite intracran intra-raquid;;
G;09;;;;;Seqüelas de doenças inflamatórias do sistema nervoso central;G09   Sequelas doenc inflam sist nerv centr;;
G;10;;;;;Doença de Huntington;G10   Doenc de Huntington;;
G;11;0;;;;Ataxia congênita não-progressiva;G11.0 Ataxia congen nao-progressiva;;
G;11;1;;;;Ataxia cerebelar de início precoce;G11.1 Ataxia cerebelar de inicio precoce;;
G;11;2;;;;Ataxia cerebelar de início tardio;G11.2 Ataxia cerebelar de inicio tard;;
G;11;3;;;;Ataxia cerebelar com déficit na reparação do DNA;G11.3 Ataxia cerebelar c/deficit na reparacao DNA;;
G;11;4;;;;Paraplegia espástica hereditária;G11.4 Paraplegia espastica hereditaria;;
G;11;8;;;;Outras ataxias hereditárias;G11.8 Outr ataxias hereditarias;;
G;11;9;;;;Ataxia hereditária não especificada;G11.9 Ataxia hereditaria NE;;
G;12;0;;;;Atrofia muscular espinal infantil tipo I [Werdnig-Hoffman];G12.0 Atrofia muscular espinal infantil tipo I;;
G;12;1;;;;Outras atrofias musculares espinais hereditárias;G12.1 Outr atrofias musculares espinais hereditar;;
G;12;2;;;;Doença do neurônio motor;G12.2 Doenc do neuronio motor;;
G;12;8;;;;Outras atrofias musculares espinais e síndromes musculares correlatas;G12.8 Outr atrof muscul espinais sindr muscul corr;;
G;12;9;;;;Atrofia muscular espinal não especificada;G12.9 Atrofia muscular espinal NE;;
G;13;0;*;;;Neuromiopatia e neuropatia paraneoplásicas;G13.0 Neuromiopatia e neuropatia paraneoplasicas;;
G;13;1;*;;;Outra atrofia sistêmica que afeta primariamente o sistema nervoso central em doenças neoplásicas;G13.1 Out atrof sist afet sist nerv cent doen neop;;
G;13;2;*;;;Atrofia sistêmica que afeta primariamente o sistema nervoso central no mixedema;G13.2 Atrof sist q afet prim sist nerv centr mixed;E00.1+,E03.-+;
G;13;8;*;;;Atrofia sistêmica que afeta primariamente o sistema nervoso central em outras doenças classificadas em outra parte;G13.8 Atr sist q afet sist nerv centr out doen COP;;
G;20;;;;;Doença de Parkinson;G20   Doenc de Parkinson;;
G;21;0;;;;Síndrome maligna dos neurolépticos;G21.0 Sindr maligna dos neurolepticos;;
G;21;1;;;;Outras formas de parkinsonismo secundário induzido por drogas;G21.1 Outr form parkinsonismo secund induz drogas;;
G;21;2;;;;Parkinsonismo secundário devido a outros agentes externos;G21.2 Parkinsonismo secund dev outr agentes extern;;
G;21;3;;;;Parkinsonismo pós-encefalítico;G21.3 Parkinsonismo pos-encefalitico;;
G;21;8;;;;Outras formas de parkinsonismo secundário;G21.8 Outr form de parkinsonismo secund;;
G;21;9;;;;Parkinsonismo secundário não especificado;G21.9 Parkinsonismo secund NE;;
G;22;;*;;;Parkinsonismo em doenças classificadas em outra parte;G22   Parkinsonismo em doenc COP;;
G;23;0;;;;Doença de Hallervorden-Spatz;G23.0 Doenc de Hallervorden-Spatz;;
G;23;1;;;;Oftalmoplegia supranuclear progressiva [Steele-Richardson-Olszewski];G23.1 Oftalmoplegia supranuclear progressiva;;
G;23;2;;;;Degeneração estrionígrica;G23.2 Degeneracao estrionigrica;;
G;23;8;;;;Outras doenças degenerativas especificadas dos gânglios da base;G23.8 Outr doenc degenerativas espec ganglios base;;
G;23;9;;;;Doença degenerativa dos gânglios da base, não especificada;G23.9 Doenc degenerativa dos ganglios da base NE;;
G;24;0;;;;Distonia induzida por drogas;G24.0 Distonia induz p/drogas;;
G;24;1;;;;Distonia familiar idiopática;G24.1 Distonia familiar idiopatica;;
G;24;2;;;;Distonia não-familiar idiopática;G24.2 Distonia nao-familiar idiopatica;;
G;24;3;;;;Torcicolo espasmódico;G24.3 Torcicolo espasmodico;;
G;24;4;;;;Distonia orofacial idiopática;G24.4 Distonia orofacial idiopatica;;
G;24;5;;;;Blefaroespasmo;G24.5 Blefaroespasmo;;
G;24;8;;;;Outras distonias;G24.8 Outr distonias;;
G;24;9;;;;Distonia não especificada;G24.9 Distonia NE;;
G;25;0;;;;Tremor essencial;G25.0 Tremor essencial;;
G;25;1;;;;Tremor induzido por drogas;G25.1 Tremor induz p/drogas;;
G;25;2;;;;Outras formas especificadas de tremor;G25.2 Outr form espec de tremor;;
G;25;3;;;;Mioclonia;G25.3 Mioclonia;;
G;25;4;;;;Coréia induzida por droga;G25.4 Coreia induz p/droga;;
G;25;5;;;;Outras formas de coréia;G25.5 Outr form de coreia;;
G;25;6;;;;Tiques induzidos por droga e outros tipos de origem orgânica;G25.6 Tiques induz p/droga e outr tipos orig organ;;
G;25;8;;;;Outras doenças extrapiramidais e transtornos dos movimentos, especificados;G25.8 Outr doenc extrapiramid transt movim espec;;
G;25;9;;;;Doenças extrapiramidais e transtornos dos movimentos, não especificados;G25.9 Doenc extrapiramidais transt movimentos NE;;
G;26;;*;;;Doenças extrapiramidais e transtornos dos movimentos em doenças classificadas em outra parte;G26   Doenc extrapiramidais transt movim doenc COP;;
G;30;0;;;;Doença de Alzheimer de início precoce;G30.0 Doenc de Alzheimer de inicio precoce;;
G;30;1;;;;Doença de Alzheimer de início tardio;G30.1 Doenc de Alzheimer de inicio tard;;
G;30;8;;;;Outras formas de doença de Alzheimer;G30.8 Outr form de doenc de Alzheimer;;
G;30;9;;;;Doença de Alzheimer não especificada;G30.9 Doenc de Alzheimer NE;;
G;31;0;;;;Atrofia cerebral circunscrita;G31.0 Atrofia cerebral circunscrita;;
G;31;1;;;;Degeneração cerebral senil, não classificadas em outra parte;G31.1 Degeneracao cerebral senil NCOP;;
G;31;2;;;;Degeneração do sistema nervoso devida ao álcool;G31.2 Degeneracao do sist nervoso dev alcool;;
G;31;8;;;;Outras doenças degenerativas especificadas do sistema nervoso;G31.8 Outr doenc degenerativas espec sist nervoso;;
G;31;9;;;;Doença degenerativa do sistema nervoso, não especificada;G31.9 Doenc degenerativa do sist nervoso NE;;
G;32;0;*;;;Degeneração combinada subaguda da medula espinal em doenças classificadas em outra parte;G32.0 Degener comb subagud medul espinal doenc COP;;
G;32;8;*;;;Outros transtornos degenerativos especificados do sistema nervoso em doenças classificadas em outra parte;G32.8 Outr transt degener espec sist nerv doen COP;;
G;35;;;;;Esclerose múltipla;G35   Esclerose mult;;
G;36;0;;;;Neuromielite óptica [doença de Devic];G36.0 Neuromielite optica;;
G;36;1;;;;Leucoencefalite hemorrágica aguda e subaguda [Hurst];G36.1 Leucoencefalite hemorragica aguda e subaguda;;
G;36;8;;;;Outras desmielinizações disseminadas agudas especificadas;G36.8 Outr desmielinizacoes dissem agudas espec;;
G;36;9;;;;Desmielinização disseminada aguda não especificada;G36.9 Desmielinizacao disseminada aguda NE;;
G;37;0;;;;Esclerose difusa;G37.0 Esclerose difusa;;
G;37;1;;;;Desmielinização central do corpo caloso;G37.1 Desmielinizacao central do corpo caloso;;
G;37;2;;;;Mielinólise central da ponte;G37.2 Mielinolise central da ponte;;
G;37;3;;;;Mielite transversa aguda em doenças desmielinizantes do sistema nervoso central;G37.3 Mielit trans agud doen desmiel sis nerv cent;;
G;37;4;;;;Mielite subaguda necrótica;G37.4 Mielite subaguda necrotica;;
G;37;5;;;;Esclerose concêntrica [Baló];G37.5 Esclerose concentrica;;
G;37;8;;;;Outras doenças desmielinizantes especificadas do sistema nervoso central;G37.8 Outr doenc desmiel espec sist nerv centr;;
G;37;9;;;;Doença desmielinizante do sistema nervoso central, não especificada;G37.9 Doenc desmielinizante sist nerv central NE;;
G;40;0;;;;Epilepsia e síndromes epilépticas idiopáticas definidas por sua localização (focal) (parcial) com crises de início focal;G40.0 Epilep sind epil idiop def loc cris inic foc;;
G;40;1;;;;Epilepsia e síndromes epilépticas sintomáticas definidas por sua localização (focal) (parcial) com crises parciais simples;G40.1 Epilep sind epil sint def loc cris parc simp;;
G;40;2;;;;Epilepsia e síndromes epilépticas sintomáticas definidas por sua localização (focal) (parcial) com crises parciais complexas;G40.2 Epilep sind epil sint def loc cris parc comp;;
G;40;3;;;;Epilepsia e síndromes epilépticas generalizadas idiopáticas;G40.3 Epilepsia e sindr epilepticas gener idiopat;;
G;40;4;;;;Outras epilepsias e síndromes epilépticas generalizadas;G40.4 Outr epilepsias e sindr epilepticas gener;;
G;40;5;;;;Síndromes epilépticas especiais;G40.5 Sindr epilepticas especiais;;
G;40;6;;;;Crise de grande mal, não especificada (com ou sem pequeno mal);G40.6 Crise de grande mal NE;;
G;40;7;;;;Pequeno mal não especificado, sem crises de grande mal;G40.7 Pequeno mal NE s/crises de grande mal;;
G;40;8;;;;Outras epilepsias;G40.8 Outr epilepsias;;
G;40;9;;;;Epilepsia, não especificada;G40.9 Epilepsia NE;;
G;41;0;;;;Estado de grande mal epiléptico;G41.0 Estado de grande mal epileptico;;
G;41;1;;;;Estado de pequeno mal epiléptico;G41.1 Estado de pequeno mal epileptico;;
G;41;2;;;;Estado de mal epiléptico parcial complexo;G41.2 Estado de mal epileptico parcial complexo;;
G;41;8;;;;Outros estados de mal epiléptico;G41.8 Outr estados de mal epileptico;;
G;41;9;;;;Estado de mal epiléptico, não especificado;G41.9 Estado de mal epileptico NE;;
G;43;0;;;N;Enxaqueca sem aura [enxaqueca comum];G43.0 Enxaqueca s/aura;;
G;43;1;;;N;Enxaqueca com aura [enxaqueca clássica];G43.1 Enxaqueca c/aura;;
G;43;2;;;N;Estado de mal enxaquecoso;G43.2 Estado de mal enxaquecoso;;
G;43;3;;;;Enxaqueca complicada;G43.3 Enxaqueca complicada;;
G;43;8;;;N;Outras formas de enxaqueca;G43.8 Outr form de enxaqueca;;
G;43;9;;;N;Enxaqueca, sem especificação;G43.9 Enxaqueca s/especificacao;;
G;44;0;;;N;"Síndrome de ""cluster-headache""";G44.0 Sindr de cluster-headache;;
G;44;1;;;N;Cefaléia vascular, não classificada em outra parte;G44.1 Cefaleia vascular NCOP;;
G;44;2;;;N;Cefaléia tensional;G44.2 Cefaleia tensional;;
G;44;3;;;;Cefaléia crônica pós-traumática;G44.3 Cefaleia cronica pos-traum;;
G;44;4;;;;Cefaléia induzida por drogas, não classificada em outra parte;G44.4 Cefaleia induz p/drogas NCOP;;
G;44;8;;;;Outras síndromes de cefaléia especificadas;G44.8 Outr sindr de cefaleia espec;;
G;45;0;;;N;Síndrome da artéria vértebro-basilar;G45.0 Sindr da arteria vertebro-basilar;;
G;45;1;;;N;Síndrome da artéria carotídea (hemisférica);G45.1 Sindr da arteria carotidea;;
G;45;2;;;N;Síndrome das artérias pré-cerebrais, múltiplas e bilaterais;G45.2 Sindr arterias pre-cerebrais mult bilaterais;;
G;45;3;;;N;Amaurose fugaz;G45.3 Amaurose fugaz;;
G;45;4;;;N;Amnésia global transitória;G45.4 Amnesia global transitoria;;
G;45;8;;;N;Outros acidentes isquêmicos cerebrais transitórios e síndromes correlatas;G45.8 Outr acid isquemicos cerebr trans sindr corr;;
G;45;9;;;N;Isquemia cerebral transitória não especificada;G45.9 Isquemia cerebral transitoria NE;;
G;46;0;*;;;Síndrome da artéria cerebral média;G46.0 Sindr da arteria cerebral media;I66.0+;
G;46;1;*;;;Síndrome da artéria cerebral anterior;G46.1 Sindr da arteria cerebral anterior;I66.1+;
G;46;2;*;;;Síndrome da artéria cerebral posterior;G46.2 Sindr da arteria cerebral posterior;I66.2+;
G;46;3;*;;;Síndromes vasculares do tronco cerebral;G46.3 Sindr vasculares do tronco cerebral;I60-I67+;
G;46;4;*;;;Síndrome vascular cerebelar;G46.4 Sindr vascular cerebelar;I60-I67+;
G;46;5;*;;;Síndrome lacunar motora pura;G46.5 Sindr lacunar motora pura;I60-I67+;
G;46;6;*;;;Síndrome lacunar sensorial pura;G46.6 Sindr lacunar sensorial pura;I60-I67+;
G;46;7;*;;;Outras síndromes lacunares;G46.7 Outr sindr lacunares;I60-I67+;
G;46;8;*;;;Outras síndromes vasculares cerebrais em doenças cerebrovasculares;G46.8 Outr sindr vasc cerebr doenc cerebrovascular;I60-I67+;
G;47;0;;;;Distúrbios do início e da manutenção do sono [insônias];G47.0 Disturbios do inicio e da manutencao do sono;;
G;47;1;;;;Distúrbios do sono por sonolência excessiva [hipersonia];G47.1 Disturbios do sono p/sonolencia excessiva;;
G;47;2;;;;Distúrbios do ciclo vigília-sono;G47.2 Disturbios do ciclo vigilia-sono;;
G;47;3;;;;Apnéia de sono;G47.3 Apneia de sono;;
G;47;4;;;;Narcolepsia e cataplexia;G47.4 Narcolepsia e cataplexia;;
G;47;8;;;;Outros distúrbios do sono;G47.8 Outr disturbios do sono;;
G;47;9;;;;Distúrbio do sono, não especificado;G47.9 Disturbio do sono NE;;
G;50;0;;;N;Nevralgia do trigêmeo;G50.0 Nevralgia do trigemeo;;
G;50;1;;;N;Dor facial atípica;G50.1 Dor facial atipica;;
G;50;8;;;N;Outros transtornos do nervo trigêmeo;G50.8 Outr transt do nervo trigemeo;;
G;50;9;;;N;Transtorno não especificado do nervo trigêmeo;G50.9 Transt NE do nervo trigemeo;;
G;51;0;;;N;Paralisia de Bell;G51.0 Paralisia de Bell;;
G;51;1;;;N;Ganglionite geniculada;G51.1 Ganglionite geniculada;;
G;51;2;;;N;Síndrome de Melkersson;G51.2 Sindr de Melkersson;;
G;51;3;;;N;Espasmo hemifacial clônico;G51.3 Espasmo hemifacial clonico;;
G;51;4;;;N;Mioquimia facial;G51.4 Mioquimia facial;;
G;51;8;;;N;Outros transtornos do nervo facial;G51.8 Outr transt do nervo facial;;
G;51;9;;;N;Transtorno não especificado do nervo facial;G51.9 Transt NE do nervo facial;;
G;52;0;;;;Transtornos do nervo olfatório;G52.0 Transt do nervo olfatorio;;
G;52;1;;;;Transtornos do nervo glossofaríngeo;G52.1 Transt do nervo glossofaringeo;;
G;52;2;;;;Transtornos do nervo vago;G52.2 Transt do nervo vago;;
G;52;3;;;;Transtornos do nervo hipoglosso;G52.3 Transt do nervo hipoglosso;;
G;52;7;;;;Transtornos de múltiplos nervos cranianos;G52.7 Transt de mult nervos cranianos;;
G;52;8;;;;Transtornos de outros nervos cranianos especificados;G52.8 Transt de outr nervos cranianos espec;;
G;52;9;;;;Transtorno de nervo craniano não especificado;G52.9 Transt de nervo craniano NE;;
G;53;0;*;;;Nevralgia pós-zoster;G53.0 Nevralgia pos-zoster;B02.2+;
G;53;1;*;;;Paralisias de múltiplos nervos cranianos em doenças infecciosas e parasitárias classificadas em outra parte;G53.1 Paral mult nerv cran doen infecc parasit COP;A00-B99+;
G;53;2;*;;;Paralisias de múltiplos nervos cranianos na sarcoidose;G53.2 Paralisias mult nervos cranianos sarcoidose;D86.8+;
G;53;3;*;;;Paralisias de múltiplos nervos cranianos em doenças neoplásicas;G53.3 Paralisias mult nerv cran doenc neoplasicas;C00-D48+;
G;53;8;*;;;Outros transtornos de nervos cranianos em outras doenças classificadas em outra parte;G53.8 Outr transt nervos cranianos outr doenc COP;;
G;54;0;;;N;Transtornos do plexo braquial;G54.0 Transt do plexo braquial;;
G;54;1;;;N;Transtornos do plexo lombossacral;G54.1 Transt do plexo lombossacral;;
G;54;2;;;N;Transtornos das raízes cervicais não classificadas em outra parte;G54.2 Transt das raizes cervicais NCOP;;
G;54;3;;;N;Transtornos das raízes torácicas não classificadas em outra parte;G54.3 Transt das raizes toracicas NCOP;;
