LETRA;NÚMERO;CLASSIF;DESCRICAO;DESCRABREV;REFER
H;25;;Catarata senil;H25   Catarata senil;
H;26;;Outras cataratas;H26   Outr cataratas;
H;27;;Outros transtornos do cristalino;H27   Outr transt do cristalino;
H;28;*;Catarata e outros transtornos do cristalino em doenças classificadas em outra parte;H28   Catarata e outr transt cristalino doenc COP;
H;30;;Inflamação coriorretiniana;H30   Inflam coriorretiniana;
H;31;;Outros transtornos da coróide;H31   Outr transt da coroide;
H;32;*;Transtornos coriorretinianos em doenças classificadas em outra parte;H32   Transt coriorretinianos em doenc COP;
H;33;;Descolamentos e defeitos da retina;H33   Descolamentos e defeitos da retina;
H;34;;Oclusões vasculares da retina;H34   Oclusoes vasculares da retina;
H;35;;Outros transtornos da retina;H35   Outr transt da retina;
H;36;*;Transtornos da retina em doenças classificadas em outra parte;H36   Transt da retina em doenc COP;
H;40;;Glaucoma;H40   Glaucoma;
H;42;*;Glaucoma em doenças classificadas em outra parte;H42   Glaucoma em doenc COP;
H;43;;Transtornos do humor vítreo;H43   Transt do humor vitreo;
H;44;;Transtornos do globo ocular;H44   Transt do globo ocular;
H;45;*;Transtornos do humor vítreo e do globo ocular em doenças classificadas em outra parte;H45   Transt humor vitreo e globo ocular doenc COP;
H;46;;Neurite óptica;H46   Neurite optica;
H;47;;Outros transtornos do nervo óptico e das vias ópticas;H47   Outr transt do nervo optico e vias opticas;
H;48;*;Transtornos do nervo óptico [segundo par] e das vias ópticas em doenças classificadas em outra parte;H48   Transt nervo optico e vias opticas doenc COP;
H;49;;Estrabismo paralítico;H49   Estrabismo paralitico;
H;50;;Outros estrabismos;H50   Outr estrabismos;
H;51;;Outros transtornos do movimento binocular;H51   Outr transt do movimento binocular;
H;52;;Transtornos da refração e da acomodação;H52   Transt da refracao e da acomodacao;
H;53;;Distúrbios visuais;H53   Disturbios visuais;
H;54;;Cegueira e visão subnormal;H54   Cegueira e visao subnormal;
H;55;;Nistagmo e outros movimentos irregulares do olho;H55   Nistagmo e outr movimentos irregulares olho;
H;57;;Outros transtornos do olho e anexos;H57   Outr transt do olho e anexos;
H;58;*;Outros transtornos do olho e anexos em doenças classificadas em outra parte;H58   Outr transt do olho e anexos em doenc COP;
H;59;;Transtornos do olho e anexos pós-procedimento não classificados em outra parte;H59   Transt do olho e anexos pos-proced NCOP;
H;60;;Otite externa;H60   Otite externa;
H;61;;Outros transtornos do ouvido externo;H61   Outr transt do ouvido externo;
H;62;*;Transtornos do ouvido externo em doenças classificadas em outra parte;H62   Transt do ouvido externo em doenc COP;
H;65;;Otite média não-supurativa;H65   Otite media nao-supurativa;
H;66;;Otite média supurativa e as não especificadas;H66   Otite media supurativa e as NE;
H;67;*;Otite média em doenças classificadas em outra parte;H67   Otite media em doenc COP;
H;68;;Salpingite e obstrução da trompa de Eustáquio;H68   Salpingite e obstrucao trompa de Eustaquio;
H;69;;Outros transtornos da trompa de Eustáquio;H69   Outr transt da trompa de Eustaquio;
H;70;;Mastoidite e afecções correlatas;H70   Mastoidite e afeccoes correlatas;
H;71;;Colesteatoma do ouvido médio;H71   Colesteatoma do ouvido medio;
H;72;;Perfuração da membrana do tímpano;H72   Perfuracao da membrana do timpano;
H;73;;Outros transtornos da membrana do tímpano;H73   Outr transt da membrana do timpano;
H;74;;Outros transtornos do ouvido médio e da mastóide;H74   Outr transt do ouvido medio e da mastoide;
H;75;*;Outros transtornos do ouvido médio e da mastóide em doenças classificadas em outra parte;H75   Outr transt ouvido medio mastoide doenc COP;
H;80;;Otosclerose;H80   Otosclerose;
H;81;;Transtornos da função vestibular;H81   Transt da funcao vestibular;
H;82;*;Síndromes vertiginosas em doenças classificadas em outra parte;H82   Sindr vertiginosas em doenc COP;
H;83;;Outros transtornos do ouvido interno;H83   Outr transt do ouvido interno;
H;90;;Perda de audição por transtorno de condução e/ou neuro-sensorial;H90   Perda audicao transt conducao neuro-sens;
H;91;;Outras perdas de audição;H91   Outr perdas de audicao;
H;92;;Otalgia e secreção auditiva;H92   Otalgia e secrecao auditiva;
H;93;;Outros transtornos do ouvido não classificados em outra parte;H93   Outr transt do ouvido NCOP;
H;94;*;Outros transtornos do ouvido em doenças classificadas em outra parte;H94   Outr transt do ouvido em doenc COP;
H;95;;Transtornos do ouvido e da apófise mastóide pós-procedimentos, não classificados em outra parte;H95   Transt ouvido apof mastoide pos-proced NCOP;
I;0;;Febre reumática sem menção de comprometimento do coração;I00   Febre reumatica s/mencao de compr do coracao;
I;1;;Febre reumática com comprometimento do coração;I01   Febre reumatica c/compr do coracao;
I;2;;Coréia reumática;I02   Coreia reumatica;
I;5;;Doenças reumáticas da valva mitral;I05   Doenc reumaticas da valva mitral;
I;6;;Doenças reumáticas da valva aórtica;I06   Doenc reumaticas da valva aortica;
I;7;;Doenças reumáticas da valva tricúspide;I07   Doenc reumaticas da valva tricuspide;
I;8;;Doenças de múltiplas valvas;I08   Doenc de mult valvas;
I;9;;Outras doenças reumáticas do coração;I09   Outr doenc reumaticas do coracao;
I;10;;Hipertensão essencial (primária);I10   Hipertensao essencial;
I;11;;Doença cardíaca hipertensiva;I11   Doenc cardiaca hipertensiva;
I;12;;Doença renal hipertensiva;I12   Doenc renal hipertensiva;
I;13;;Doença cardíaca e renal hipertensiva;I13   Doenc cardiaca e renal hipertensiva;
I;15;;Hipertensão secundária;I15   Hipertensao secund;
I;20;;Angina pectoris;I20   Angina pectoris;
I;21;;Infarto agudo do miocárdio;I21   Infarto agudo do miocardio;
I;22;;Infarto do miocárdio recorrente;I22   Infarto do miocardio recorrente;
I;23;;Algumas complicações atuais subseqüentes ao infarto agudo do miocárdio;I23   Alg complic atuais subs infarto agud miocard;
I;24;;Outras doenças isquêmicas agudas do coração;I24   Outr doenc isquemicas agudas do coracao;
I;25;;Doença isquêmica crônica do coração;I25   Doenc isquemica cronica do coracao;
I;26;;Embolia pulmonar;I26   Embolia pulmonar;
I;27;;Outras formas de doença cardíaca pulmonar;I27   Outr form de doenc cardiaca pulmonar;
I;28;;Outras doenças dos vasos pulmonares;I28   Outr doenc dos vasos pulmonares;
I;30;;Pericardite aguda;I30   Pericardite aguda;
I;31;;Outras doenças do pericárdio;I31   Outr doenc do pericardio;
I;32;*;Pericardite em doenças classificadas em outra parte;I32   Pericardite em doenc COP;
I;33;;Endocardite aguda e subaguda;I33   Endocardite aguda e subaguda;
I;34;;Transtornos não-reumáticos da valva mitral;I34   Transt nao-reumaticos da valva mitral;
I;35;;Transtornos não-reumáticos da valva aórtica;I35   Transt nao-reumaticos da valva aortica;
I;36;;Transtornos não-reumáticos da valva tricúspide;I36   Transt nao-reumaticos da valva tricuspide;
I;37;;Transtornos da valva pulmonar;I37   Transt da valva pulmonar;
I;38;;Endocardite de valva não especificada;I38   Endocardite de valva NE;
I;39;*;Endocardite e transtornos valvulares cardíacos em doenças classificadas em outra parte;I39   Endocardite transt valvulares card doenc COP;
I;40;;Miocardite aguda;I40   Miocardite aguda;
I;41;*;Miocardite em doenças classificadas em outra parte;I41   Miocardite em doenc COP;
I;42;;Cardiomiopatias;I42   Cardiomiopatias;
I;43;*;Cardiomiopatia em doenças classificadas em outra parte;I43   Cardiomiopatia em doenc COP;
I;44;;Bloqueio atrioventricular e do ramo esquerdo;I44   Bloqueio atrioventricular e do ramo esquerdo;
I;45;;Outros transtornos de condução;I45   Outr transt de conducao;
I;46;;Parada cardíaca;I46   Parada cardiaca;
I;47;;Taquicardia paroxística;I47   Taquicardia paroxistica;
I;48;;Flutter e fibrilação atrial;I48   Flutter e fibrilacao atrial;
I;49;;Outras arritmias cardíacas;I49   Outr arritmias cardiacas;
I;50;;Insuficiência cardíaca;I50   Insuf cardiaca;
I;51;;Complicações de cardiopatias e doenças cardíacas mal definidas;I51   Complic cardiopatias doenc cardiacas mal def;
I;52;*;Outras afecções cardíacas em doenças classificadas em outra parte;I52   Outr afeccoes cardiacas em doenc COP;
I;60;;Hemorragia subaracnóide;I60   Hemorragia subaracnoide;
I;61;;Hemorragia intracerebral;I61   Hemorragia intracerebral;
I;62;;Outras hemorragias intracranianas não-traumáticas;I62   Outr hemorragias intracranianas nao-traum;
I;63;;Infarto cerebral;I63   Infarto cerebral;
I;64;;Acidente vascular cerebral, não especificado como hemorrágico ou isquêmico;I64   Acid vasc cerebr NE como hemorrag isquemico;
I;65;;Oclusão e estenose de artérias pré-cerebrais que não resultam em infarto cerebral;I65   Oclus/esten art pre-cereb q n res inf cereb;
I;66;;Oclusão e estenose de artérias cerebrais que não resultam em infarto cerebral;I66   Oclusao/estenose art cereb q n res inf cereb;
I;67;;Outras doenças cerebrovasculares;I67   Outr doenc cerebrovasculares;
I;68;*;Transtornos cerebrovasculares em doenças classificadas em outra parte;I68   Transt cerebrovasculares em doenc COP;
I;69;;Seqüelas de doenças cerebrovasculares;I69   Sequelas de doenc cerebrovasculares;
I;70;;Aterosclerose;I70   Aterosclerose;
I;71;;Aneurisma e dissecção da aorta;I71   Aneurisma e disseccao da aorta;
I;72;;Outros aneurismas;I72   Outr aneurismas;
I;73;;Outras doenças vasculares periféricas;I73   Outr doenc vasculares perifericas;
I;74;;Embolia e trombose arteriais;I74   Embolia e trombose arteriais;
I;77;;Outras afecções das artérias e arteríolas;I77   Outr afeccoes das arterias e arteriolas;
I;78;;Doenças dos capilares;I78   Doenc dos capilares;
I;79;*;Transtornos das artérias, das arteríolas e dos capilares em doenças classificadas em outra parte;I79   Transt arter arteriolas capilares doenc COP;
I;80;;Flebite e tromboflebite;I80   Flebite e tromboflebite;
I;81;;Trombose da veia porta;I81   Trombose da veia porta;
I;82;;Outra embolia e trombose venosas;I82   Outr embolia e trombose venosas;
I;83;;Varizes dos membros inferiores;I83   Varizes dos membros infer;
I;84;;Hemorróidas;I84   Hemorroidas;
I;85;;Varizes esofagianas;I85   Varizes esofagianas;
I;86;;Varizes de outras localizações;I86   Varizes de outr localiz;
I;87;;Outros transtornos das veias;I87   Outr transt das veias;
I;88;;Linfadenite inespecífica;I88   Linfadenite inespecifica;
I;89;;Outros transtornos não-infecciosos dos vasos linfáticos e dos gânglios linfáticos;I89   Outr transt nao-infecc vasos linf gangl linf;
I;95;;Hipotensão;I95   Hipotensao;
I;97;;Transtornos do aparelho circulatório, subseqüentes a procedimentos não classificados em outra parte;I97   Transt aparelho circulat subseq proced NCOP;
I;98;*;Outros transtornos do aparelho circulatório em doenças classificadas em outra parte;I98   Outr transt aparelho circulatorio doenc COP;
I;99;;Outros transtornos do aparelho circulatório e os não especificados;I99   Outr transt do aparelho circulatorio e os NE;
J;0;;Nasofaringite aguda [resfriado comum];J00   Nasofaringite aguda;
J;1;;Sinusite aguda;J01   Sinusite aguda;
J;2;;Faringite aguda;J02   Faringite aguda;
J;3;;Amigdalite aguda;J03   Amigdalite aguda;
J;4;;Laringite e traqueíte agudas;J04   Laringite e traqueite agudas;
J;5;;Laringite obstrutiva aguda [crupe] e epiglotite;J05   Laringite obstrutiva aguda e epiglotite;
J;6;;Infecções agudas das vias aéreas superiores de localizações múltiplas e não especificadas;J06   Infecc agudas vias aereas super loc mult NE;
J;9;;Influenza [gripe] devida a vírus identificado da gripe aviária;J09   Influenza dev virus gripe aviária;
J;10;;Influenza devida a outro vírus da influenza [gripe] identificado;J10   Influenza dev outro virus influenza ident;
J;11;;Influenza [gripe] devida a vírus não identificado;J11   Influenza dev virus nao identificado;
J;12;;Pneumonia viral não classificada em outra parte;J12   Pneumonia viral NCOP;
J;13;;Pneumonia devida a Streptococcus pneumoniae;J13   Pneumonia dev Streptococcus pneumoniae;
J;14;;Pneumonia devida a Haemophilus infuenzae;J14   Pneumonia dev Haemophilus infuenzae;
J;15;;Pneumonia bacteriana não classificada em outra parte;J15   Pneumonia bacter NCOP;
J;16;;Pneumonia devida a outros microorganismos infecciosos especificados não classificados em outra parte;J16   Pneumonia dev out microorg infecc espec NCOP;
J;17;*;Pneumonia em doenças classificadas em outra parte;J17   Pneumonia em doenc COP;
J;18;;Pneumonia por microorganismo não especificada;J18   Pneumonia p/microorg NE;
J;20;;Bronquite aguda;J20   Bronquite aguda;
J;21;;Bronquiolite aguda;J21   Bronquiolite aguda;
J;22;;Infecções agudas não especificada das vias aéreas inferiores;J22   Infecc agudas NE das vias aereas infer;
J;30;;Rinite alérgica e vasomotora;J30   Rinite alergica e vasomotora;
J;31;;Rinite, nasofaringite e faringite crônicas;J31   Rinite nasofaringite e faringite cronicas;
J;32;;Sinusite crônica;J32   Sinusite cronica;
J;33;;Pólipo nasal;J33   Polipo nasal;
J;34;;Outros transtornos do nariz e dos seios paranasais;J34   Outr transt do nariz e dos seios paranasais;
J;35;;Doenças crônicas das amígdalas e das adenóides;J35   Doenc cronicas das amigdalas e das adenoides;
J;36;;Abscesso periamigdaliano;J36   Abscesso periamigdaliano;
J;37;;Laringite e laringotraqueíte crônicas;J37   Laringite e laringotraqueite cronicas;
J;38;;Doenças das cordas vocais e da laringe não classificadas em outra parte;J38   Doenc das cordas vocais e da laringe NCOP;
J;39;;Outras doenças das vias aéreas superiores;J39   Outr doenc das vias aereas super;
J;40;;Bronquite não especificada como aguda ou crônica;J40   Bronquite NE como aguda ou cronica;
J;41;;Bronquite crônica simples e a mucopurulenta;J41   Bronquite cronica simples e a mucopurulenta;
J;42;;Bronquite crônica não especificada;J42   Bronquite cronica NE;
J;43;;Enfisema;J43   Enfisema;
J;44;;Outras doenças pulmonares obstrutivas crônicas;J44   Outr doenc pulmonares obstrutivas cronicas;
J;45;;Asma;J45   Asma;
J;46;;Estado de mal asmático;J46   Estado de mal asmatico;
J;47;;Bronquectasia;J47   Bronquectasia;
J;60;;Pneumoconiose dos mineiros de carvão;J60   Pneumoconiose dos mineiros de carvao;
J;61;;Pneumoconiose devida a amianto [asbesto] e outras fibras minerais;J61   Pneumoconiose dev amianto outr fibr minerais;
J;62;;Pneumoconiose devida a poeira que contenham sílica;J62   Pneumoconiose dev poeira que cont silica;
J;63;;Pneumoconiose devida a outras poeiras inorgânicas;J63   Pneumoconiose dev outr poeiras inorganicas;
J;64;;Pneumoconiose não especificada;J64   Pneumoconiose NE;
J;65;;Pneumoconiose associada com tuberculose;J65   Pneumoconiose assoc c/tuberc;
J;66;;Doenças das vias aéreas devida a poeiras orgânicas específicas;J66   Doenc das vias aereas dev poeiras org espec;
J;67;;Pneumonite de hipersensibilidade devida a poeiras orgânicas;J67   Pneumonite hipersensibilid dev poeiras org;
J;68;;Afecções respiratórias devidas a inalação de produtos químicos, gases, fumaças e vapores;J68   Afecc resp dev inal prod quim gas fumac vap;
J;69;;Pneumonite devida a sólidos e líquidos;J69   Pneumonite dev solidos e liquidos;
J;70;;Afecções respiratórias devida a outros agentes externos;J70   Afeccoes respirat dev outr agentes externos;
J;80;;Síndrome do desconforto respiratório do adulto;J80   Sindr do desconforto respirat do adulto;
J;81;;Edema pulmonar, não especificado de outra forma;J81   Edema pulmonar NE de outr form;
J;82;;Eosinofilia pulmonar, não classificada em outra parte;J82   Eosinofilia pulmonar NCOP;
J;84;;Outras doenças pulmonares intersticiais;J84   Outr doenc pulmonares intersticiais;
J;85;;Abscesso do pulmão e do mediastino;J85   Abscesso do pulmao e do mediastino;
J;86;;Piotórax;J86   Piotorax;
J;90;;Derrame pleural não classificado em outra parte;J90   Derrame pleural NCOP;
J;91;*;Derrame pleural em afecções classificadas em outra parte;J91   Derrame pleural em afeccoes COP;
J;92;;Placas pleurais;J92   Placas pleurais;
J;93;;Pneumotórax;J93   Pneumotorax;
J;94;;Outras afecções pleurais;J94   Outr afeccoes pleurais;
J;95;;Afecções respiratórias pós-procedimentos não classificadas em outra parte;J95   Afeccoes respirat pos-proced NCOP;
J;96;;Insuficiência respiratória não classificada de outra parte;J96   Insuf respirat NCOP;
J;98;;Outros transtornos respiratórios;J98   Outr transt respirat;
J;99;*;Transtornos respiratórios em doenças classificadas em outra parte;J99   Transt respirat em doenc COP;
K;0;;Distúrbios do desenvolvimento e da erupção dos dentes;K00   Disturbios desenvolv e da erupcao dos dentes;
K;1;;Dentes inclusos e impactados;K01   Dentes inclusos e impactados;
K;2;;Cárie dentária;K02   Carie dentaria;
K;3;;Outras doenças dos tecidos dentários duros;K03   Outr doenc dos tec dentarios duros;
K;4;;Doenças da polpa e dos tecidos periapicais;K04   Doenc da polpa e dos tec periapicais;
K;5;;Gengivite e doenças periodontais;K05   Gengivite e doenc periodontais;
K;6;;Outros transtornos da gengiva e do rebordo alveolar sem dentes;K06   Outr transt gengiva rebordo alveolar s/dent;
K;7;;Anomalias dentofaciais (inclusive a maloclusão);K07   Anomalias dentofaciais;
K;8;;Outros transtornos dos dentes e de suas estruturas de sustentação;K08   Outr transt dentes e estrut de sustentacao;
K;9;;Cistos da região bucal não classificados em outra parte;K09   Cistos da regiao bucal NCOP;
K;10;;Outras doenças dos maxilares;K10   Outr doenc dos maxilares;
K;11;;Doenças das glândulas salivares;K11   Doenc das gland salivares;
K;12;;Estomatite e lesões correlatas;K12   Estomatite e lesoes correlatas;
K;13;;Outras doenças do lábio e da mucosa oral;K13   Outr doenc do labio e da mucosa oral;
K;14;;Doenças da língua;K14   Doenc da lingua;
K;20;;Esofagite;K20   Esofagite;
K;21;;Doença de refluxo gastroesofágico;K21   Doenc de refluxo gastroesofagico;
K;22;;Outras doenças do esôfago;K22   Outr doenc do esofago;
K;23;*;Transtornos do esôfago em doenças classificadas em outra parte;K23   Transt do esofago em doenc COP;
K;25;;Úlcera gástrica;K25   Ulcera gastrica;
K;26;;Úlcera duodenal;K26   Ulcera duodenal;
K;27;;Úlcera péptica de localização não especificada;K27   Ulcera peptica de localiz NE;
K;28;;Úlcera gastrojejunal;K28   Ulcera gastrojejunal;
K;29;;Gastrite e duodenite;K29   Gastrite e duodenite;
K;30;;Dispepsia;K30   Dispepsia;
K;31;;Outras doenças do estômago e do duodeno;K31   Outr doenc do estomago e do duodeno;
K;35;;Apendicite aguda;K35   Apendicite aguda;
K;36;;Outras formas de apendicite;K36   Outr form de apendicite;
K;37;;Apendicite, sem outras especificações;K37   Apendicite SOE;
K;38;;Outras doenças do apêndice;K38   Outr doenc do apendice;
K;40;;Hérnia inguinal;K40   Hernia inguinal;
K;41;;Hérnia femoral;K41   Hernia femoral;
K;42;;Hérnia umbilical;K42   Hernia umbilical;
K;43;;Hérnia ventral;K43   Hernia ventral;
K;44;;Hérnia diafragmática;K44   Hernia diafragmatica;
K;45;;Outras hérnias abdominais;K45   Outr hernias abdominais;
K;46;;Hérnia abdominal não especificada;K46   Hernia abdominal NE;
K;50;;Doença de Crohn [enterite regional];K50   Doenc de Crohn;
K;51;;Colite ulcerativa;K51   Colite ulcerativa;
K;52;;Outras gastroenterites e colites não-infecciosas;K52   Outr gastroenterites e colites nao-infecc;
K;55;;Transtornos vasculares do intestino;K55   Transt vasculares do intestino;
K;56;;Íleo paralítico e obstrução intestinal sem hérnia;K56   Ileo paralitico e obstr intestinal s/hernia;
K;57;;Doença diverticular do intestino;K57   Doenc diverticular do intestino;
K;58;;Síndrome do cólon irritável;K58   Sindr do colon irritavel;
K;59;;Outros transtornos funcionais do intestino;K59   Outr transt funcionais do intestino;
K;60;;Fissura e fístula das regiões anal e retal;K60   Fissura e fistula das regioes anal e retal;
K;61;;Abscesso das regiões anal e retal;K61   Abscesso das regioes anal e retal;
K;62;;Outras doenças do reto e do ânus;K62   Outr doenc do reto e do anus;
K;63;;Outras doenças do intestino;K63   Outr doenc do intestino;
K;65;;Peritonite;K65   Peritonite;
K;66;;Outros transtornos do peritônio;K66   Outr transt do peritonio;
K;67;*;Comprometimento do peritônio, em doenças infecciosas classificadas em outra parte;K67   Compr do peritonio em doenc infecc COP;
K;70;;Doença alcoólica do fígado;K70   Doenc alcoolica do figado;
K;71;;Doença hepática tóxica;K71   Doenc hepatica toxica;
K;72;;Insuficiência hepática não classificada em outra parte;K72   Insuf hepatica NCOP;
K;73;;Hepatite crônica não classificada em outra parte;K73   Hepatite cronica NCOP;
K;74;;Fibrose e cirrose hepáticas;K74   Fibrose e cirrose hepaticas;
K;75;;Outras doenças inflamatórias do fígado;K75   Outr doenc inflam do figado;
K;76;;Outras doenças do fígado;K76   Outr doenc do figado;
K;77;*;Transtornos do fígado em doenças classificadas em outra parte;K77   Transt do figado em doenc COP;
K;80;;Colelitíase;K80   Colelitiase;
K;81;;Colecistite;K81   Colecistite;
K;82;;Outras doenças da vesícula biliar;K82   Outr doenc da vesicula biliar;
K;83;;Outras doenças das vias biliares;K83   Outr doenc das vias biliares;
K;85;;Pancreatite aguda;K85   Pancreatite aguda;
K;86;;Outras doenças do pâncreas;K86   Outr doenc do pancreas;
K;87;*;Transtornos da vesícula biliar, das vias biliares e do pâncreas em doenças classificadas em outra parte;K87   Transt ves biliar via biliar pancr doenc COP;
K;90;;Má-absorção intestinal;K90   Ma-absorcao intestinal;
K;91;;Transtornos do aparelho digestivo pós-procedimentos, não classificados em outra parte;K91   Transt do aparelho digestivo pos-proced NCOP;
K;92;;Outras doenças do aparelho digestivo;K92   Outr doenc do aparelho digestivo;
K;93;*;Transtornos de outros órgãos digestivos em doenças classificadas em outra parte;K93   Transt de outr orgaos digestivos doenc COP;
L;0;;Síndrome da pele escaldada estafilocócica do recém-nascido;L00   Sindr pele escaldada estafilococ recem-nasc;
L;1;;Impetigo;L01   Impetigo;
L;2;;Abscesso cutâneo, furúnculo e antraz;L02   Abscesso cutaneo furunculo e antraz;
L;3;;Celulite (Flegmão);L03   Celulite;
L;4;;Linfadenite aguda;L04   Linfadenite aguda;
L;5;;Cisto pilonidal;L05   Cisto pilonidal;
L;8;;Outras infecções localizadas da pele e do tecido subcutâneo;L08   Outr infecc localiz pele e tec subcutaneo;
L;10;;Pênfigo;L10   Penfigo;
L;11;;Outras afecções acantolíticas;L11   Outr afeccoes acantoliticas;
L;12;;Penfigóide;L12   Penfigoide;
L;13;;Outras afecções bolhosas;L13   Outr afeccoes bolhosas;
L;14;*;Afecções bolhosas em doenças classificadas em outra parte;L14   Afeccoes bolhosas em doenc COP;
L;20;;Dermatite atópica;L20   Dermatite atopica;
L;21;;Dermatite seborréica;L21   Dermatite seborreica;
L;22;;Dermatite das fraldas;L22   Dermatite das fraldas;
L;23;;Dermatites alérgicas de contato;L23   Dermatites alergicas de contato;
L;24;;Dermatites de contato por irritantes;L24   Dermatites de contato p/irritantes;
L;25;;Dermatite de contato não especificada;L25   Dermatite de contato NE;
L;26;;Dermatite esfoliativa;L26   Dermatite esfoliativa;
L;27;;Dermatite devida a substâncias de uso interno;L27   Dermatite dev subst de uso interno;
L;28;;Líquen simples crônico e prurigo;L28   Liquen simples cronico e prurigo;
L;29;;Prurido;L29   Prurido;
L;30;;Outras dermatites;L30   Outr dermatites;
L;40;;Psoríase;L40   Psoriase;
L;41;;Parapsoríase;L41   Parapsoriase;
L;42;;Pitiríase rósea;L42   Pitiriase rosea;
L;43;;Líquen plano;L43   Liquen plano;
L;44;;Outras afecções pápulo-descamativas;L44   Outr afeccoes papulo-descamativas;
L;45;*;Afecções pápulo-descamativas em doenças classificadas em outra parte;L45   Afeccoes papulo-descamativas em doenc COP;
L;50;;Urticária;L50   Urticaria;
L;51;;Eritema polimorfo (eritema multiforme);L51   Eritema polimorfo;
L;52;;Eritema nodoso;L52   Eritema nodoso;
L;53;;Outras afecções eritematosas;L53   Outr afeccoes eritematosas;
L;54;*;Eritema em doenças classificadas em outra parte;L54   Eritema em doenc COP;
L;55;;Queimadura solar;L55   Queim solar;
L;56;;Outras alterações agudas da pele devidas a radiação ultravioleta;L56   Outr alterac agud pele dev rad ultravioleta;
L;57;;Alterações da pele devidas à exposição crônica à radiação não ionizante;L57   Alter pele dev expos cron rad nao ionizante;
L;58;;Radiodermatite;L58   Radiodermatite;
L;59;;Outras afecções da pele e do tecido subcutâneo relacionadas com a radiação;L59   Outr afecc pele tec subcutan relac radiacao;
L;60;;Afecções das unhas;L60   Afeccoes das unhas;
L;62;*;Afecções das unhas em doenças classificadas em outra parte;L62   Afeccoes das unhas em doenc COP;
L;63;;Alopécia areata;L63   Alopecia areata;
L;64;;Alopécia androgênica;L64   Alopecia androgenica;
L;65;;Outras formas não cicatriciais da perda de cabelos ou pêlos;L65   Outr form nao cicatric perda cabelos pelos;
L;66;;Alopécia cicatricial [perda de cabelos ou pêlos, cicatricial];L66   Alopecia cicatricial;
L;67;;Anormalidades da cor e do pedículo dos cabelos e dos pêlos;L67   Anormalidades cor e pediculo cabelos pelos;
L;68;;Hipertricose;L68   Hipertricose;
L;70;;Acne;L70   Acne;
L;71;;Rosácea;L71   Rosacea;
L;72;;Cistos foliculares da pele e do tecido subcutâneo;L72   Cistos foliculares da pele e tec subcutaneo;
L;73;;Outras afecções foliculares;L73   Outr afeccoes foliculares;
L;74;;Afecções das glândulas sudoríparas écrinas;L74   Afeccoes das gland sudoriparas ecrinas;
L;75;;Afecções das glândulas sudoríparas apócrinas;L75   Afeccoes das gland sudoriparas apocrinas;
L;80;;Vitiligo;L80   Vitiligo;
L;81;;Outros transtornos da pigmentação;L81   Outr transt da pigmentacao;
L;82;;Ceratose seborréica;L82   Ceratose seborreica;
L;83;;Acantose nigricans;L83   Acantose nigricans;
L;84;;Calos e calosidades;L84   Calos e calosidades;
L;85;;Outras formas de espessamento epidérmico;L85   Outr form de espessamento epidermico;
L;86;*;Ceratodermia em doenças classificadas em outra parte;L86   Ceratodermia em doenc COP;
L;87;;Transtornos da eliminação transepidérmica;L87   Transt da eliminacao transepidermica;
L;88;;Piodermite gangrenosa;L88   Piodermite gangrenosa;
L;89;;Úlcera de decúbito;L89   Ulcera de decubito;
L;90;;Afecções atróficas da pele;L90   Afeccoes atroficas da pele;
L;91;;Afecções hipertróficas da pele;L91   Afeccoes hipertroficas da pele;
L;92;;Afecções granulomatosas da pele e do tecido subcutâneo;L92   Afeccoes granulomatosas pele tec subcutaneo;
L;93;;Lúpus eritematoso;L93   Lupus eritematoso;
L;94;;Outras afecções localizadas do tecido conjuntivo;L94   Outr afeccoes localizadas do tec conjuntivo;
L;95;;Vasculite limitada a pele não classificadas em outra parte;L95   Vasculite limitada a pele NCOP;
L;97;;Úlcera dos membros inferiores não classificada em outra parte;L97   Ulcera dos membros infer NCOP;
L;98;;Outras afecções da pele e do tecido subcutâneo não classificadas em outra parte;L98   Outr afeccoes da pele e tec subcutaneo NCOP;
L;99;*;Outras afecções da pele e do tecido subcutâneo em doenças classificadas em outra parte;L99   Outr afeccoes pele tec subcutaneo doenc COP;
M;0;;Artrite piogênica;M00   Artrite piogenica;
M;1;*;Infecções diretas da articulação em doenças infecciosas e parasitárias classificadas em outra parte;M01   Infecc diretas artic doenc infec parasit COP;
M;2;;Artropatias reacionais;M02   Artropatias reacionais;
M;3;*;Artropatias pós-infecciosas e reacionais em doenças infecciosas classificadas em outra parte;M03   Artropatias pos-infecc reac doenc infecc COP;
M;5;;Artrite reumatóide soro-positiva;M05   Artrite reumatoide soro-positiva;
M;6;;Outras artrites reumatóides;M06   Outr artrites reumatoides;
M;7;*;Artropatias psoriásicas e enteropáticas;M07   Artropatias psoriasicas e enteropaticas;
M;8;;Artrite juvenil;M08   Artrite juvenil;
M;9;*;Artrite juvenil em doenças classificadas em outra parte;M09   Artrite juvenil em doenc COP;
M;10;;Gota;M10   Gota;
M;11;;Outras artropatias por deposição de cristais;M11   Outr artropatias p/deposicao de cristais;
M;12;;Outras artropatias especificadas;M12   Outr artropatias espec;
M;13;;Outras artrites;M13   Outr artrites;
M;14;*;Artropatias em outras doenças classificadas em outra parte;M14   Artropatias em outr doenc COP;
M;15;;Poliartrose;M15   Poliartrose;
M;16;;Coxartrose [artrose do quadril];M16   Coxartrose;
M;17;;Gonartrose [artrose do joelho];M17   Gonartrose;
